epoch,train_loss,auc,acc,f1
1,1.456490581234296,0.7376573350694445,0.86875,0.2631578947368421
2,1.0545161560177803,0.8284505208333334,0.765625,0.38524590163934425
3,1.0448591440916062,0.8341742621527778,0.5359375,0.28433734939759037
4,1.0127786338329314,0.7024875217013888,0.8609375,0.38620689655172413
5,0.9667246535420417,0.7356363932291667,0.884375,0.4861111111111111
6,0.9452317833900452,0.7469618055555556,0.859375,0.4578313253012048
7,0.8314470613996188,0.802001953125,0.85,0.4666666666666667
8,0.8020190566778183,0.7875434027777778,0.8625,0.47619047619047616
9,0.8641405930121739,0.813747829861111,0.8703125,0.484472049689441
10,0.7389288755754629,0.7880045572916666,0.9015625,0.5333333333333333
11,0.7850117944180965,0.844211154513889,0.7421875,0.37735849056603776
12,0.7941577176253001,0.8216417100694444,0.8,0.42342342342342343
13,0.7453807666897774,0.8022867838541667,0.8640625,0.5028571428571429
14,0.6842477699120839,0.7781304253472223,0.853125,0.47191011235955055
15,0.6888662355641524,0.8375108506944443,0.8578125,0.49162011173184356
16,0.6192926928400994,0.8151312934027779,0.840625,0.4631578947368421
17,0.5744926239053408,0.818508572048611,0.8421875,0.4712041884816754
18,0.5951559046904246,0.8120524088541667,0.8625,0.5
19,0.5938753115634123,0.8139105902777778,0.8375,0.4583333333333333
20,0.5527305024365584,0.8093804253472221,0.8609375,0.49142857142857144
